SBankCode,BankTypeCode,BankName
,ABC,中国农业银行
,CCB,中国建设银行
,ICBC,中国工商银行
,BOC,中国银行
,PSBC,中国邮政储蓄银行
,COMM,交通银行
,ADBC,中国农业发展银行
,PBCABD,中国人民银行会计营业部门
,CMB,招商银行
,CITIC,中信银行
,CMBC,中国民生银行
,CIB,兴业银行
,SPDB,浦发银行
,CEB,中国光大银行
,SPABANK,平安银行
,HXBANK,华夏银行
,GDB,广发银行
,ZYB,中原银行
,CDRCB,成都农商银行
,SXQNRCB,陕西秦农农村商业银行股份有限公司
,JSBANK,江苏银行
,HSBANK,徽商银行
,TRCB,天津农商银行
,BJBANK,北京银行
,NBBANK,宁波银行
,SHRCB,上海农商银行
,JLBANK,吉林银行
,ZJTLCB,浙江泰隆商业银行
,BOHAIB,渤海银行
,CZBANK,浙商银行
,SHBANK,上海银行
,EGBANK,恒丰银行
,GYCB,贵阳银行
,HRBANK,哈尔滨银行
,TZCB,台州银行
,DLRCB,大连农村商业银行
,QDRCU,青岛农村商业银行股份有限公司
,DAQINGB,龙江银行
,CSCB,长沙银行
,ZJKCCB,张家口银行
,BHB,河北银行
,SXBA,山西银行股份有限公司
,CZRCB,江南农村商业银行
,ZYCBANK,贵州银行
,CABANK,长安银行
,HZCB,杭州银行
,BJRCB,北京农商行
,NJCB,南京银行
,SRCB,深圳农村商业银行
,GSBANK,甘肃银行
,HBC,湖北银行
,CDCB,成都银行
,SJBANK,盛京银行
,HRXJB,华融湘江银行
,JJBANK,九江银行
,NCB,江西银行
,CZCB,浙江稠州商业银行
,DLB,大连银行
,MTBANK,浙江民泰商业银行
,XABANK,西安银行
,ZZBANK,郑州银行
,CRCB,长沙农村商业银行股份有限公司
,HBTSRCB,河北唐山农村商业银行
,BGB,广西北部湾银行
,BSB,蒙商银行
,HKB,汉口银行
,FDB,富滇银行
,JLJTRCB,吉林九台农村商业银行
,XZNCRCB,徐州农村商业银行
,H3CB,内蒙古银行
,LZYH,兰州银行
,TCCB,天津银行
,GZB,赣州银行
,QLBANK,齐鲁银行
,BOJZ,锦州银行
,BOD,东莞银行
,VTYCSYYXHWU,济南农村商业银行
,GLBANK,桂林银行
,CQBANK,重庆银行
,HLDB,葫芦岛银行
,GCB,广州银行
,HZLHRCC,杭州联合农村商业银行
,ZJKRCB,张家口农村商业银行
,LZRCB,兰州农村商业银行股份有限公司
,JZRCBANK,江苏紫金农村商业银行
,WASRCC,武安市农村信用联社
,NBCXRCB,宁波慈溪农村商业银行
,QDCCB,青岛银行
,BOSZ,苏州银行
,CRCBANK,重庆农村商业银行
,WZCB,温州银行
,NYBANK,广东南粤银行
,HDBANK,邯郸银行
,ZJXSRCC,浙江萧山农村商业银行
,BDSSQRCC,保定市市区农村信用合作联社
,BOYK,营口银行
,ZBCB,齐商银行
,SYCTRCB,沈阳农村商业银行
,PZHCCB,四川银行
,BOCZ,沧州银行
,JSB,晋商银行
,TJBHB,天津滨海农村商业银行
,ORBANK,鄂尔多斯银行
,CGNB,四川天府银行
,LZCCB,柳州银行
,SRBANK,上饶银行
,SXCB,绍兴银行
,BODD,丹东银行
,WHCCB,威海市商业银行
,JGRCB,金谷农商银行
,BOCD,承德银行
,FJJJRCC,福建晋江农村商业银行
,WWRCB,武威农村商业银行
,FJNARCC,福建南安农村商业银行
,LANGFB,廊坊银行
,XIB,厦门国际银行
,LSBANK,莱商银行
,JHBANK,金华银行
,HKBEA,东亚银行
,URMQCCB,乌鲁木齐银行
,FJPTRCB,福建莆田农村商业银行
,QASRCC,迁安市农村信用合作联社
,BZSVDNRCC,霸州市农村信用合作联社
,CCQTGB,重庆三峡银行
,HANCB,江苏淮安农村商业银行
,SXYDRCC,山西尧都农村商业银行
,ZZRCC,枣庄农村商业银行
,XMBANK,厦门银行
,TYSCQWUQRCC,山西省太原市城区农村信用合作联社
,NXBANK,宁夏银行
,XJTSRCC,新疆天山农村商业银行
,BANKWF,潍坊银行
,AKNCRCC,安康农村商业银行
,HZCCB,湖州银行
,JXBANK,嘉兴银行
,LSYH,辽沈银行股份有限公司
,GYRCB,贵阳农村商业银行
,RBOZ,珠海华润银行
,NBYYRCC,宁波余姚农村商业银行
,FJFQHTRCC,福建福清汇通农村商业银行
,ZJYWRCC,浙江义乌农村商业银行
,BOQH,青海银行
,MYBANK,绵阳市商业银行
,NTRCB,江苏南通农村商业银行
,KLB,昆仑银行
,YCRCB,永州农村商业银行股份有限公司
,FXCB,阜新银行
,HNLYRCC,湖南耒阳农村商业银行
,FJHXBC,福建海峡银行
,RZB,日照银行
,LSBC,临商银行
,CSRCB,常熟农商银行
,YTBANK,烟台银行
,LSCCB,乐山市商业银行
,FSCB,抚顺银行
,BOQZ,泉州银行
,HFKJRCC,合肥科技农村商业银行
,SDSGRCC,山东寿光农村商业银行
,WFRCC,潍坊农村商业银行
,WRCB,无锡农村商业银行
,XTB,邢台银行
,CCCB,长春农村商业银行
,SXYLYYRCC,陕西榆林榆阳农村商业银行
,ZJSXRFRCC,浙江绍兴瑞丰农村商业银行
,SJJHR,石家庄汇融农村合作银行
,ZJZJRCC,浙江诸暨农村商业银行
,ZJRARCC,浙江瑞安农村商业银行
,ZJHCRCC,浙江禾城农村商业银行
,AHHYRCC,安徽怀远农村商业银行
,HNXJXQRCB,湖南湘江新区农村商业银行股份有限公司
,SZSBK,石嘴山银行
,BDCBANK,保定银行
,SDLWRCC,山东莱芜农村商业银行
,HBXZRCB,河北邢州农村商业银行
,XMRCB,厦门农村商业银行
,LNXEONRCC,滦南县农村信用合作联社
,HYRCB,衡阳农村商业银行股份有限公司
,SDGRRCC,山东广饶农村商业银行
,ZJWLRCC,浙江温岭农村商业银行
,JNBANK,济宁银行
,XYXKYBRCC,仙游县农村信用合作联社
,BOCY,朝阳银行
,TSBANK,唐山银行股份有限公司
,SDZDRCC,山东张店农村商业银行
,NBSSQRCC,宁波市市区农村信用合作联社
,ZJHZYHRCC,浙江杭州余杭农村商业银行
,SHSRCC,三河市农村信用合作联社
,YNXZUKRCC,永年县农村信用联社
,ZJLARCC,浙江临安农村商业银行
